SRAA00097,GBDL01827	-323.2:-295
SRAA00090,BIOD02657	NA:-205.6
SRAA00052,BIOD01429	NA:-155.7
SRAA00031,GBDL00873	NA:-164.7
BIOD00794,BIOD02201	NA:-109
GBDL01373,GBDL01011	NA:-155.7
SRAA00070,BIOD02893	NA:-150.8
SRAA00076,BIOD00502	NA:-155.7
BIOD00278,BIOD02365	NA:-155.7
SRAA00046,GBDL00620	NA:-122.5
GBDL01396,GBDL01827	NA:-155.7
SRAA00054,BIOD02795	NA:-155.7
GBDL01165,BIOD00380	NA:-155.7
GBDL01529,BIOD00160	NA:-125.5
BIOD02657,BIOD00986	-297.34
SRAA00070,BIOD00502	-218.36
BIOD01932,BIOD02790	-208.79
